Year,Month,Opening (GBP),Interest charged (GBP),Capital paid (GBP),Product fee (GBP),Closing (GBP),UK Tax Year,Swedish Tax Year,Source
2023,Jan,207951.3,258.21,1282.17,0,206669.13,22/23,2023,2023 PDF
2023,Feb,206669.13,256.64,1283.74,0,205385.39,22/23,2023,2023 PDF
2023,Mar,205385.39,255.02,1285.36,0,204100.03,22/23,2023,2023 PDF
2023,Apr,204100.03,253.42,1286.96,0,202813.07,22/23,2023,2023 PDF
2023,May,202813.07,251.85,688.5,0,202124.57,23/24,2023,2023 PDF
2023,Jun,202124.57,250.97,689.38,0,201435.19,23/24,2023,2023 PDF
2023,Jul,201435.19,250.12,690.22,0,200744.97,23/24,2023,2023 PDF
2023,Aug,200744.97,249.26,691.08,0,200053.89,23/24,2023,2023 PDF
2023,Sep,200053.89,248.4,691.94,0,199361.95,23/24,2023,2023 PDF
2023,Oct,199361.95,247.54,692.8,0,198669.15,23/24,2023,2023 PDF
2023,Nov,198669.15,246.68,1393.66,0,197275.49,23/24,2023,2023 PDF
2023,Dec,197275.49,244.95,1395.39,0,195880.1,23/24,2023,2023 PDF
2024,Jan,189805.22,234.52,1405.82,0,188399.4,23/24,2024,spreadsheet 2024
2024,Feb,188171.42,232.81,1407.57,0,186763.85,23/24,2024,spreadsheet 2024
2024,Mar,186763.89,231.9,1408.48,0,185355.41,23/24,2024,spreadsheet 2024
2024,Apr,185354.58,458.55,2822.21,0,182532.37,23/24,2024,spreadsheet 2024 (2 rows)
2024,May,182530.71,451.53,2829.23,0,179701.48,24/25,2024,spreadsheet 2024 (2 rows)
2024,Jun,179699.87,444.5,1436.21,0,178263.66,24/25,2024,spreadsheet 2024 (2 rows)
2024,Jul,177565.43,2397.11,546.9,0,177018.53,24/25,2024,spreadsheet 2024 - anomalous
2024,Aug,178764.94,652.49,-0.49,0,178765.43,24/25,2024,spreadsheet 2024 - projection?
2025,Jan,178999.86,222.26,718.07,0,178281.79,24/25,2025,2025 PDF
2025,Feb,178281.79,221.37,718.95,1749,179311.84,24/25,2025,2025 PDF
2025,Mar,179311.84,638.98,546.9,0,178764.94,24/25,2025,2025 PDF
2025,Apr,178764.94,652.49,0,0,178764.94,24/25,2025,2025 PDF
2025,May,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Jun,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Jul,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Aug,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Sep,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Oct,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Nov,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Dec,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2026,Jan,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Feb,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Mar,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Apr,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,May,178764.94,652.49,0,0,178764.94,26/27,2026,2026 PDF
